DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 1,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 2,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 3,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 4,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 5
-513,-459,0,1,,-513,-459,0,1,,-359,-672,0,1,,-650,-568,1,0,,,,,,
-498,-459,0,1,,-498,-459,0,1,,-337,-672,0,1,,-632,-568,1,0,,,,,,
-482,-459,0,1,,-482,-459,0,1,,-315,-672,0,1,,-613,-568,1,0,,,,,,
-467,-459,0,1,,-467,-459,0,1,,-292,-672,0,1,,-594,-568,1,0,,,,,,
-452,-459,0,1,,-452,-459,0,1,,-270,-672,0,1,,-575,-568,1,0,,,,,,
-436,-459,0,1,,-436,-459,0,1,,-247,-672,0,1,,-556,-568,1,0,,,,,,
-421,-459,0,1,,-421,-459,0,1,,-225,-672,1,0,,-537,-568,1,0,,,,,,
-406,-459,0,1,,-406,-459,0,1,,-203,-672,1,0,,-518,-568,0,1,,,,,,
-390,-459,0,1,,-390,-459,0,1,,-180,-672,1,0,,-499,-568,0,1,,,,,,
-375,-459,0,1,,-375,-459,0,1,,-158,-672,1,0,,-480,-568,0,1,,,,,,
-360,-459,0,1,,-360,-459,0,1,,-135,-672,1,0,,-461,-568,0,1,,,,,,
-345,-459,0,1,,-345,-459,0,1,,-113,-672,1,0,,-442,-568,0,1,,,,,,
-329,-459,0,1,,-329,-459,0,1,,-91,-672,1,0,,-423,-568,0,1,,,,,,
-314,-459,0,1,,-314,-459,0,1,,-68,-672,1,0,,-404,-568,0,1,,,,,,
-299,-459,0,1,,-299,-459,0,1,,-46,-672,1,0,,-385,-568,0,1,,,,,,
-283,-459,0,1,,-283,-459,0,1,,-23,-672,1,0,,-367,-568,0,1,,,,,,
-268,-459,0,1,,-268,-459,0,1,,-1,-672,1,0,,-348,-568,0,1,,,,,,
-253,-459,0,1,,-253,-459,0,1,,21,-672,1,0,,-329,-568,0,1,,,,,,
-237,-459,0,1,,-237,-459,0,1,,44,-672,1,0,,-310,-568,0,1,,,,,,
-222,-459,0,1,,-222,-459,0,1,,50,-672,1,0,,-291,-568,0,1,,,,,,
-207,-459,0,1,,-207,-459,0,1,,-650,-532,1,0,,-272,-568,0,1,,,,,,
-192,-459,0,1,,-192,-459,0,1,,-650,-532,1,0,,-253,-568,0,1,,,,,,
-176,-459,0,1,,-176,-459,0,1,,-633,-532,1,0,,-234,-568,0,1,,,,,,
-161,-459,0,1,,-161,-459,0,1,,-615,-532,1,0,,-215,-568,0,1,,,,,,
-146,-459,0,1,,-146,-459,0,1,,-597,-532,1,0,,-196,-568,0,1,,,,,,
-130,-459,0,1,,-130,-459,0,1,,-580,-532,1,0,,-177,-568,1,0,,,,,,
-115,-459,0,1,,-115,-459,0,1,,-562,-532,1,0,,-158,-568,1,0,,,,,,
-100,-459,1,0,,-100,-459,1,0,,-544,-532,1,0,,-139,-568,1,0,,,,,,
-84,-459,1,0,,-84,-459,1,0,,-526,-532,0,1,,-120,-568,1,0,,,,,,
-69,-459,1,0,,-69,-459,1,0,,-509,-532,0,1,,-101,-568,1,0,,,,,,
-54,-459,1,0,,-54,-459,1,0,,-491,-532,0,1,,-83,-568,1,0,,,,,,
-39,-459,1,0,,-39,-459,1,0,,-473,-532,0,1,,-64,-568,1,0,,,,,,
-23,-459,1,0,,-23,-459,1,0,,-455,-532,0,1,,-45,-568,1,0,,,,,,
-8,-459,1,0,,-8,-459,1,0,,-438,-532,0,1,,-26,-568,1,0,,,,,,
7,-459,1,0,,7,-459,1,0,,-420,-532,0,1,,-7,-568,1,0,,,,,,
23,-459,1,0,,23,-459,1,0,,-402,-532,0,1,,12,-568,1,0,,,,,,
38,-459,1,0,,38,-459,1,0,,-384,-532,0,1,,31,-568,1,0,,,,,,
50,-459,1,0,,50,-459,1,0,,-367,-532,0,1,,50,-568,1,0,,,,,,
-650,-642,1,0,,-650,-642,1,0,,-349,-532,0,1,,-650,-651,1,0,,,,,,
-650,-642,1,0,,-650,-642,1,0,,-331,-532,0,1,,-650,-651,1,0,,,,,,
-629,-642,1,0,,-629,-642,1,0,,-314,-532,0,1,,-629,-651,1,0,,,,,,
-608,-642,1,0,,-608,-642,1,0,,-296,-532,0,1,,-607,-651,1,0,,,,,,
-586,-642,1,0,,-586,-642,1,0,,-278,-532,0,1,,-585,-651,1,0,,,,,,
-565,-642,1,0,,-565,-642,1,0,,-260,-532,0,1,,-564,-651,1,0,,,,,,
-544,-642,1,0,,-544,-642,1,0,,-243,-532,1,0,,-542,-651,1,0,,,,,,
-522,-642,1,0,,-522,-642,1,0,,-225,-532,1,0,,-520,-651,1,0,,,,,,
-501,-642,1,0,,-501,-642,1,0,,-207,-532,1,0,,-499,-651,0,1,,,,,,
-479,-642,0,1,,-479,-642,0,1,,-189,-532,1,0,,-477,-651,0,1,,,,,,
-458,-642,0,1,,-458,-642,0,1,,-172,-532,1,0,,-455,-651,0,1,,,,,,
-437,-642,0,1,,-437,-642,0,1,,-154,-532,1,0,,-433,-651,0,1,,,,,,
